fileName,Label,S1@(ms),S2@(ms),systole,diastole,S1(ABV),syst_mur(0/1),smur_begin,syst_dur,syst_amp,syst_freq,S2(ABV),diast_mur(0/1),dmur_begin,diast_dur,diast_amp,diast_freq,syst_s1_amp_ratio,diast_s1_amp_ratio,syst_mur(0/1).v2,diast_mur(0/1).v2,sum_diff_syst,sum_diff_diast,Npeaks systole,Npeaks diastole,var_pks_systole,var_pks_diastole,L_pks_syst,M_pks_syst,H_pks_syst,L_pks_diast,M_pks_diast,H_pks_diast
normal-v1T403-s05.wav,0,190,520,330,450,0.322156779,1,250,50,0.016475293,103.0333153,0.070442166,0,0,0,0,0,0.051140607,0,0,0,0.747955322,0.138183594,168,483,2.74662E-06,3.3807E-07,163,4,1,483,0,0
normal-v1T404-s01.wav,0,80,400,320,460,0.221662055,1,140,40,0.013261936,93.82132746,0.052604438,0,0,0,0,0,0.059829526,0,0,0,0.436737061,0.092926025,155,431,4.0662E-06,4.63648E-07,150,3,2,431,0,0
normal-v1T404-s02.wav,0,250,570,320,460,0.368089108,1,310,40,0.019903425,95.83307981,0.073780178,0,0,0,0,0,0.054072302,0,0,0,0.656646729,0.107666016,124,394,4.72997E-06,6.58204E-07,119,3,2,394,0,0
normal-v1T404-s03.wav,0,310,640,330,450,0.33837816,1,370,50,0.0226446,112.3347724,0.076601715,0,0,0,0,0,0.066920985,0,0,0,0.915527344,0.131530762,138,363,3.47859E-06,7.42298E-07,132,2,4,362,1,0
normal-v1T404-s04.wav,0,260,590,330,450,0.462784288,1,320,40,0.020913211,111.6936686,0.076011556,0,0,0,0,0,0.045189977,0,0,0,0.800445557,0.128936768,103,342,4.9377E-06,8.88137E-07,97,3,3,341,1,0
normal-v1T404-s05.wav,0,400,730,330,460,0.350430603,1,460,50,0.042429917,78.88557575,0.073366292,0,0,0,0,0,0.121079371,0,1,0,1.10949707,0.135894775,105,377,7.77143E-06,7.94477E-07,100,4,1,376,1,0
earlySyst_s01.wav,1,1000,1350,350,580,0.267393575,1,1050,240,0.017406581,150.2034849,0.050852521,1,1420,470,0.008029732,18.72571815,0.065097231,0.030029638,0,0,4.141662598,1.82925415,82,364,7.61778E-06,8.13048E-06,33,44,5,215,0,149
earlySyst_s02.wav,1,320,670,350,600,0.256950737,1,370,240,0.018494614,138.2433224,0.055793648,1,740,480,0.007974648,23.08152142,0.071977275,0.031035707,0,0,4.228546143,1.855133057,79,399,7.22748E-06,7.66689E-06,34,42,3,253,0,146
earlySyst_s03.wav,1,340,670,330,600,0.233340737,1,380,230,0.017982592,150.372342,0.054285726,1,730,430,0.008101655,20.47624931,0.077065807,0.034720276,0,0,4.145782471,1.888916016,76,403,7.12372E-06,7.73395E-06,31,40,5,249,0,154
earlySyst_s04.wav,1,260,610,350,580,0.252525699,1,300,250,0.017404685,150.2257867,0.05356154,1,670,150,0.008155946,27.8371374,0.068922431,0.032297489,0,0,4.338256836,1.831420898,82,356,7.44851E-06,8.32159E-06,34,45,3,211,0,145
earlySyst_s05.wav,1,260,620,360,600,0.228169759,1,320,250,0.017750658,137.2387683,0.059344317,1,690,130,0.0083716,21.69996101,0.077795838,0.036690227,0,0,4.281585693,1.85369873,82,396,7.52401E-06,7.67962E-06,34,45,3,247,0,149
earlySyst_s06.wav,1,290,630,340,600,0.236972794,1,340,230,0.018341552,141.2678069,0.053501158,1,690,130,0.008307419,25.96081325,0.077399401,0.035056427,0,0,4.158630371,1.886291504,77,410,6.36583E-06,7.56244E-06,32,40,5,258,0,152
earlySyst_s07.wav,1,370,730,360,580,0.256269743,1,420,220,0.018568254,157.7055074,0.057052068,1,790,50,0.008309016,26.40974767,0.072455896,0.03242293,0,0,4.423797607,1.831817627,93,358,7.56076E-06,8.33639E-06,40,49,4,211,0,147
earlySyst_s08.wav,1,290,650,360,600,0.24267158,1,350,250,0.017539105,138.5257936,0.0597343,1,720,480,0.007991525,19.63408205,0.07227507,0.032931441,0,0,4.281890869,1.853363037,83,396,7.1538E-06,7.67592E-06,35,45,3,249,0,147
earlySyst_s09.wav,1,280,620,340,600,0.257451805,1,330,230,0.018661341,139.97012,0.04885393,1,680,440,0.008018517,20.62236816,0.072484792,0.0311457,0,0,4.171600342,1.88381958,79,412,6.93053E-06,7.50101E-06,33,43,3,254,0,158
earlySyst_s10.wav,1,290,650,360,590,0.272181944,1,340,270,0.016904943,131.66073,0.059208626,1,730,290,0.008119128,17.79008976,0.06210898,0.029829782,0,0,4.435424805,1.831329346,92,369,8.03813E-06,8.01015E-06,38,51,3,222,1,146
earlySyst_s11.wav,1,290,630,340,590,0.246114461,1,340,240,0.01763269,138.3490016,0.056300566,1,710,280,0.008133779,19.3269937,0.071644267,0.033048765,0,0,4.12890625,1.85333252,79,399,7.27736E-06,7.57739E-06,34,40,5,251,0,148
earlySyst_s12.wav,1,240,600,360,570,0.274675372,1,290,250,0.017944444,134.8167602,0.052127993,1,660,320,0.00805809,19.60074423,0.065329644,0.029336776,0,0,4.263671875,1.82421875,87,367,6.78551E-06,8.04927E-06,38,46,3,221,0,146
earlySyst_s13.wav,1,280,640,360,590,0.272275685,1,330,250,0.017503017,142.5053724,0.057759798,1,700,310,0.008121743,21.35761607,0.064284173,0.029829116,0,0,4.371917725,1.830169678,82,381,7.23718E-06,7.89552E-06,36,43,3,236,0,145
earlySyst_s14.wav,1,320,660,340,590,0.264425242,1,370,230,0.017848395,149.1372194,0.050207023,1,740,180,0.008299744,24.45649355,0.067498832,0.031387867,0,0,4.096221924,1.853851318,77,397,7.35698E-06,7.59825E-06,34,38,5,253,0,144
earlySyst_s15.wav,1,280,640,360,570,0.276099217,1,330,250,0.018050843,134.5991707,0.053246222,1,700,470,0.008065172,22.38415897,0.065378103,0.029211138,0,0,4.26473999,1.82434082,82,369,7.19356E-06,8.06562E-06,36,43,3,222,0,147
earlySyst_s16.wav,1,270,630,360,590,0.255685284,1,330,240,0.017380878,148.2200961,0.052888462,1,690,470,0.008109842,21.2568947,0.067977625,0.031718062,0,0,4.180969238,1.861206055,76,396,6.908E-06,7.66935E-06,33,38,5,246,1,149
earlySyst_s17.wav,1,280,630,350,580,0.26801256,1,330,240,0.017409542,149.6110377,0.050574969,1,700,470,0.008032431,18.6966169,0.064957933,0.029970354,0,0,4.140594482,1.828491211,85,359,7.6672E-06,8.28485E-06,36,44,5,213,0,146
earlySyst_s18.wav,1,240,580,340,590,0.259020887,1,290,230,0.017929036,146.9738395,0.052422721,1,660,280,0.008167485,22.52672105,0.069218495,0.03153215,0,0,4.094451904,1.853515625,77,396,7.35755E-06,7.717E-06,34,38,5,251,0,145
